Lat,Lon,Location,Count
40.88537729999999,-73.9523597,"Englewood Cliffs, NJ",1
42.1250929,-72.749538,"Westfield, MA",1
37.8043514,-122.2711639,"Oakland, CA",2
35.20105,-91.8318334,Arkansas,1
38.9586307,-77.35700279999999,"Reston, VA",4
33.7489954,-84.3879824,"Atlanta, GA",6
37.36883,-122.0363496,"Sunnyvale, CA",3
37.6604484,-121.8757968,"Pleasanton, CA",1
37.5485396,-121.988583,"Fremont, CA",1
40.2115109,-74.6796651,"Hamilton, NJ",1
33.4483771,-112.0740373,"Phoenix, AZ",1
33.3528264,-111.789027,"Gilbert, AZ",1
43.7730448,-88.4470508,"Fond du Lac, WI",1
45.0999849,-87.6306623,"Marinette, WI",1
32.7764749,-79.93105120000001,"Charleston, SC",1
40.245664,-74.8459972,"Yardley, PA",1
38.8799697,-77.1067698,"Arlington, VA",2
40.8256561,-73.69818579999999,"Port Washington, NY",1
42.2042586,-72.6162009,"Holyoke, MA",1
27.950575,-82.4571776,"Tampa, FL",2
37.5629917,-122.3255254,"San Mateo, CA",2
47.76011099999999,-122.2054452,"Bothell, WA",1
40.744679,-73.9485424,"Long Island City, NY",1
33.9472359,-118.0853451,"Santa Fe Springs, Los Angeles, CA",1
37.09024,-95.712891,United States,21
34.0522342,-118.2436849,"Los Angeles, CA",63
35.9489566,-85.0269014,"Crossville, TN",1
42.6064095,-83.1497751,"Troy, MI",2
42.6525793,-73.7562317,"Albany, NY",1
41.0188032,-73.6813591,"Rye Brook, NY",1
35.9250637,-86.8688899,"Franklin, TN",1
40.44062479999999,-79.9958864,"Pittsburgh, PA",2
34.769536,-92.2670941,"North Little Rock, AR",1
40.5484233,-76.3846781,"Pine Grove, PA",2
34.0194543,-118.4911912,"Santa Monica, CA",2
41.1616108,-112.0263313,"Roy, UT",1
34.4208305,-119.6981901,"Santa Barbara, CA",1
42.0172457,-94.3774232,"Jefferson, IA",1
33.1506744,-96.82361159999999,"Frisco, TX",1
33.1192068,-117.086421,"Escondido, CA",1
39.2037144,-76.86104619999999,"Columbia, MD",21
37.2089572,-93.29229889999999,"Springfield, MO",1
26.1669711,-80.25659499999999,"Sunrise, FL",1
47.6768927,-122.2059833,"Kirkland, WA",1
40.7177545,-74.0431435,"Jersey City, NJ",1
43.0494572,-88.0075875,"Wauwatosa, WI",1
38.2575517,-76.4620928,"Lexington Park, MD",1
44.840798,-93.2982799,"Bloomington, MN",1
47.6587802,-117.4260465,"Spokane, WA",1
42.279286,-71.4161565,"Framingham, MA",20
40.0583238,-74.4056612,New Jersey,1
34.7303688,-86.5861037,"Huntsville, AL",1
40.4525163,-74.4766712,"North Brunswick, NJ",1
38.93317589999999,-77.186917,"West McLean, VA",1
41.1264849,-73.71401949999999,"Armonk, NY",1
34.1808392,-118.3089661,"Burbank, CA",1
38.9822282,-94.6707917,"Overland Park, KS",1
40.6849626,-80.1071379,"Cranberry, PA",1
40.3281246,-79.6153198,"Jeannette, PA",1
38.440429,-122.7140548,"Santa Rosa, CA",1
39.0839973,-77.1527578,"Rockville, MD",1
38.7521235,-121.2880059,"Roseville, CA",1
39.1637984,-119.7674034,"Carson City, NV",19
39.0997265,-94.5785667,"Kansas City, MO",19
42.4834197,-71.5167139,"Boxborough, MA",19
40.96343350000001,-72.1848009,"East Hampton, NY",19
36.3320196,-94.1185366,"Rogers, AR",19
41.8781136,-87.6297982,Chicago,5
